text_v2;lemma_text;pos_seq
я розчарована станом речей у нашій громаді | тут відчувається байдужість та відсутність єдності серед мешканців | сусіди майже не спілкуються один з одним;я розчарований стан річ у наш громада | тут відчуватися байдужість та відсутність єдність серед мешканець | сусід майже не спілкуватися один з один;PRON ADJ NOUN NOUN ADP DET NOUN PUNCT ADV VERB NOUN CCONJ NOUN NOUN ADP NOUN PUNCT NOUN ADV PART VERB DET ADP DET
мене дратує байдужість місцевої влади до проблем громади | вони не прислухаються до думки громадян та не вживають належних заходів для покращення якості життя | крім того;я дратувати байдужість місцевий влада до проблема громада | вони не прислухатися до думка громадянин та не вживати належний захід для покращення якість життя | крім те;PRON VERB NOUN ADJ NOUN ADP NOUN NOUN PUNCT PRON PART VERB ADP NOUN NOUN CCONJ PART VERB ADJ NOUN ADP NOUN NOUN NOUN PUNCT ADP PRON
я розчарована відсутністю культурного життя та можливостей для дозвілля у нашій громаді | тут майже не проводяться цікаві заходи чи свята;я розчарований відсутність культурний життя та можливість для дозвілля у наш громада | тут майже не проводитися цікавий захід чи свято;PRON ADJ NOUN ADJ NOUN CCONJ NOUN ADP NOUN ADP DET NOUN PUNCT ADV ADV PART VERB ADJ NOUN CCONJ NOUN
я повністю задоволений своєю роботою та карєрним зростанням | мій роботодавець створює всі умови для професійного розвитку та реалізації амбітних проєктів | атмосфера в колективі доброзичлива;я повністю задоволений свій робота та карєрний зростання | мій роботодавець створювати весь умова для професійний розвиток та реалізація амбітний проєкт | атмосфера в колектив доброзичливий;PRON ADV ADJ DET NOUN CCONJ ADJ NOUN PUNCT DET NOUN VERB DET NOUN ADP ADJ NOUN CCONJ NOUN ADJ NOUN PUNCT NOUN ADP NOUN ADJ
я високо ціную гнучкий графік роботи та можливість працювати дистанційно | це дозволяє мені ефективно поєднувати професійну діяльність із особистим життям та знаходити баланс між роботою та відпочинком1;я високо цінувати гнучкий графік робота та можливість працювати дистанційно | це дозволяти я ефективно поєднувати професійний діяльність із особистий життя та знаходити баланс між робота та відпочинком1;PRON ADV VERB ADJ NOUN NOUN CCONJ NOUN VERB ADV PUNCT PRON VERB PRON ADV VERB ADJ NOUN ADP ADJ NOUN CCONJ VERB NOUN ADP NOUN CCONJ NOUN
я незадоволений атмосферою в колективі та стилем керівництва | тут часто спостерігаються конфлікти;я незадоволений атмосфера в колектив та стиль керівництво | тут часто спостерігатися конфлікт;PRON ADJ NOUN ADP NOUN CCONJ NOUN NOUN PUNCT ADV ADV VERB NOUN
мене тішить широкий вибір послуг;я тішити широкий вибір послуга;PRON VERB ADJ NOUN NOUN
мене приваблює доступність та помірні ціни на послуги в нашому регіоні | навіть люди з невисоким рівнем доходу можуть дозволити собі скористатися необхідними послугами без значних фінансових витрат1;я приваблювати доступність та помірний ціна на послуга в наш регіон | навіть людина з невисокий рівень дохід могти дозволити себе скористатися необхідний послуга без значний фінансовий витрат1;PRON VERB NOUN CCONJ ADJ NOUN ADP NOUN ADP DET NOUN PUNCT PART NOUN ADP ADJ NOUN NOUN VERB VERB PRON VERB ADJ NOUN ADP ADJ ADJ NOUN
я пишаюся професіоналізмом та відданістю працівників сфери послуг у нашому місті | вони завжди намагаються створити комфортні умови для клієнтів та знайти індивідуальний підхід до кожного з них | це формує позитивний імідж регіону та сприяє його розвитку1;я пишатися професіоналізм та відданість працівник сфера послуга у наш місто | вони завжди намагатися створити комфортний умова для клієнт та знайти індивідуальний підхід до кожний з вони | це формувати позитивний імідж регіон та сприяти його розвиток;PRON VERB NOUN CCONJ NOUN NOUN NOUN NOUN ADP DET NOUN PUNCT PRON ADV VERB VERB ADJ NOUN ADP NOUN CCONJ VERB ADJ NOUN ADP DET ADP PRON PUNCT PRON VERB ADJ NOUN NOUN CCONJ VERB DET NOUN
я незадоволений застарілими методами роботи та відсутністю інновацій у сфері послуг | організації не прагнуть удосконалюватися та йти в ногу з часом;я незадоволений застарілий метод робота та відсутність інновація у сфера послуга | організація не прагнути удосконалюватися та йти в нога з час;PRON ADJ ADJ NOUN NOUN CCONJ NOUN NOUN ADP NOUN NOUN PUNCT NOUN PART VERB VERB CCONJ VERB ADP NOUN ADP NOUN
мене дратують завищені ціни на деякі види послуг у нашому регіоні | вони є непомірними для рівня доходів більшості населення;я дратувати завищений ціна на деякий вид послуга у наш регіон | вони бути непомірний для рівень дохід більшість населення;PRON VERB ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN PUNCT PRON AUX ADJ ADP NOUN NOUN NOUN NOUN
я критично ставлюся до недостатньої кваліфікації працівників сфери послуг | багато з них не володіють необхідними навичками та знаннями;я критично ставитися до недостатній кваліфікація працівник сфера послуга | багато з вони не володіти необхідний навичка та знання;PRON ADV VERB ADP ADJ NOUN NOUN NOUN NOUN PUNCT DET ADP PRON PART VERB ADJ NOUN CCONJ NOUN
я дуже задоволена станом навколишнього середовища у нашому регіоні | тут панує атмосфера чистоти та свіжого повітря | місцева влада докладає значних зусиль для збереження природних ресурсів та зелених зон1;я дуже задоволений стан навколишній середовище у наш регіон | тут панувати атмосфера чистота та свіжий повітря | місцевий влада докладати значний зусилля для збереження природний ресурс та зелений зон1;PRON ADV ADJ NOUN ADJ NOUN ADP DET NOUN PUNCT ADV VERB NOUN NOUN CCONJ ADJ NOUN PUNCT ADJ NOUN VERB ADJ NOUN ADP NOUN ADJ NOUN CCONJ ADJ NOUN
я високо ціную наявність сучасних систем переробки відходів та очисних споруд у нашому місті | це допомагає мінімізувати забруднення навколишнього середовища та зберегти природне різноманіття регіону1;я високо цінувати наявність сучасний система переробка відхід та очисний споруда у наш місто | це допомагати мінімізувати забруднення навколишній середовище та зберегти природний різноманіття регіону1;PRON ADV VERB NOUN ADJ NOUN NOUN NOUN CCONJ ADJ NOUN ADP DET NOUN PUNCT PRON VERB VERB NOUN ADJ NOUN CCONJ VERB ADJ NOUN NOUN
я стурбована незадовільним станом навколишнього середовища у нашому регіоні | тут спостерігається високий рівень забруднення повітря;я стурбований незадовільний стан навколишній середовище у наш регіон | тут спостерігатися високий рівень забруднення повітря;PRON ADJ ADJ NOUN ADJ NOUN ADP DET NOUN PUNCT ADV VERB ADJ NOUN NOUN NOUN
мене засмучує низька екологічна свідомість більшості мешканців нашого міста | люди байдуже ставляться до проблем навколишнього середовища;я засмучувати низький екологічний свідомість більшість мешканець наш місто | людина байдуже ставитися до проблема навколишній середовище;PRON VERB ADJ ADJ NOUN NOUN NOUN DET NOUN PUNCT NOUN ADV VERB ADP NOUN ADJ NOUN
я розчарований браком належної підтримки громадських ініціатив з боку місцевої влади | екологічні організації часто стикаються з бюрократичними перешкодами та відсутністю фінансування;я розчарований брак належний підтримка громадський ініціатив з бік місцевий влада | екологічний організація часто стикатися з бюрократичний перешкод та відсутність фінансування;PRON ADJ NOUN ADJ NOUN ADJ NOUN ADP NOUN ADJ NOUN PUNCT ADJ NOUN ADV VERB ADP ADJ NOUN CCONJ NOUN NOUN
